0.0010000000,0.0000000000,2.0000000000,0.0000000000,401
0.0010000000,0.2000000000,2.0000000000,0.0000000000,397
0.0010000000,0.4000000000,2.0000000000,0.0000000000,423
0.0010000000,0.6000000000,2.0000000000,0.0000000000,424
0.0010000000,0.8000000000,1.9999999997,0.0000000014,402
0.0010000000,1.0000000000,1.9999999768,0.0000003009,403
0.0010000000,1.2000000000,1.9999998095,0.0000011164,403
0.0010000000,1.4000000000,1.9999959509,0.0000238233,403
0.0010000000,1.6000000000,1.9999683446,0.0002004358,403
0.0010000000,1.8000000000,1.9995068333,0.0033968268,413
0.0010000000,2.0000000000,1.9986233798,0.0102257053,412
0.0010000000,2.2000000000,1.9932233386,0.0364934439,403
0.0010000000,2.4000000000,1.9765316894,0.0921103133,404
0.0010000000,2.6000000000,1.9037237212,0.2880533104,404
0.0010000000,2.8000000000,1.8193369191,0.3919710983,404
0.0010000000,3.0000000000,1.7140200556,0.5009546549,408
0.0010000000,3.2000000000,1.4019622965,0.7210862717,408
0.0010000000,3.4000000000,1.1931949624,0.7965091054,414
0.0010000000,3.6000000000,0.8886365004,0.8152555238,409
0.0010000000,3.8000000000,0.6444513426,0.7847766350,408
0.0010000000,4.0000000000,0.3458234564,0.6295347136,414
0.0010000000,4.2000000000,0.2457304955,0.5586620202,409
0.0010000000,4.4000000000,0.1673551842,0.4642476457,409
0.0010000000,4.6000000000,0.1076975133,0.3635315109,409
0.0010000000,4.8000000000,0.0818226355,0.3263640478,413
0.0010000000,5.0000000000,0.0789154382,0.2905548432,408
0.0010000000,5.2000000000,0.0664602936,0.2877578111,418
0.0010000000,5.4000000000,0.0338395371,0.1758166103,423
0.0010000000,5.6000000000,0.0259730015,0.1705548077,409
0.0010000000,5.8000000000,0.0413498138,0.2113427045,409
0.1000000000,0.0000000000,2.0000000000,0.0000000000,409
0.1000000000,0.2000000000,2.0000000000,0.0000000000,416
0.1000000000,0.4000000000,2.0000000000,0.0000000000,416
0.1000000000,0.6000000000,2.0000000000,0.0000000001,413
0.1000000000,0.8000000000,1.9999999993,0.0000000040,407
0.1000000000,1.0000000000,1.9999999856,0.0000000729,413
0.1000000000,1.2000000000,1.9999986631,0.0000148067,413
0.1000000000,1.4000000000,1.9999957147,0.0000330291,412
0.1000000000,1.6000000000,1.9999342583,0.0005483026,412
0.1000000000,1.8000000000,1.9994235178,0.0068382818,412
0.1000000000,2.0000000000,1.9947197206,0.0607688253,412
0.1000000000,2.2000000000,1.9884483716,0.0631669937,412
